Code,Single Module Frame,Finish,Module Size,Mount,System,A/V,Keypad,Proximity,Info Module,Hearing Module,Digital Display,moduli aggiuntivi,Buttons,Divided,Mounting,Flush Rainshield,Frame,Electronics Module 1,Front Piece 1,Electronics Module 2,Front Piece 2,Electronics Module 3,Front Piece 3,Electronics Module 4,Front Piece 4,CI,
MTM4S/S2AKPIM/1,System 200 Audio - 1 button,Standard,4,Surface mount,System 200,Audio,Keypad,Proximity,Info Module,,,"Keypad,Proximity,Info Module,",1,,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL1P,MTMNA,MTMFNA,MTMRFID,MTMFRFID,MTMMI,MTMFMI,10,MTM System 200 Audio Surface mount with 1 button; inc: Keypad / Proximity / Info Module /  / 
MTM4S/S2AKPHM/1,System 200 Audio - 1 button,Standard,4,Surface mount,System 200,Audio,Keypad,Proximity,,Hearing Module,,"Keypad,Proximity,Hearing Module,",1,,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL1P,MTMNA,MTMFNA,MTMRFID,MTMFRFID,MTMBFVS,MTMFBF,10,MTM System 200 Audio Surface mount with 1 button; inc: Keypad / Proximity /  / Hearing Module / 
MTM4S/S2AKIMHM/1,System 200 Audio - 1 button,Standard,4,Surface mount,System 200,Audio,Keypad,,Info Module,Hearing Module,,"Keypad,Info Module,Hearing Module,",1,,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL1P,MTMNA,MTMFNA,MTMMI,MTMFMI,MTMBFVS,MTMFBF,10,MTM System 200 Audio Surface mount with 1 button; inc: Keypad /  / Info Module / Hearing Module / 
MTM4S/S2APIMHM/1,System 200 Audio - 1 button,Standard,4,Surface mount,System 200,Audio,,Proximity,Info Module,Hearing Module,,"Proximity,Info Module,Hearing Module,",1,,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL1P,MTMRFID,MTMFRFID,MTMMI,MTMFMI,MTMBFVS,MTMFBF,10,MTM System 200 Audio Surface mount with 1 button; inc:  / Proximity / Info Module / Hearing Module / 
MTM4S/S2AKPIM/2D,System 200 Audio - 2 button divided,Standard,4,Surface mount,System 200,Audio,Keypad,Proximity,Info Module,,,"Keypad,Proximity,Info Module,",2,D,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL2P,MTMNA,MTMFNA,MTMRFID,MTMFRFID,MTMMI,MTMFMI,10,MTM System 200 Audio Surface mount with 2 divided button; inc: Keypad / Proximity / Info Module /  / 
MTM4S/S2AKPHM/2D,System 200 Audio - 2 button divided,Standard,4,Surface mount,System 200,Audio,Keypad,Proximity,,Hearing Module,,"Keypad,Proximity,Hearing Module,",2,D,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL2P,MTMNA,MTMFNA,MTMRFID,MTMFRFID,MTMBFVS,MTMFBF,10,MTM System 200 Audio Surface mount with 2 divided button; inc: Keypad / Proximity /  / Hearing Module / 
MTM4S/S2AKIMHM/2D,System 200 Audio - 2 button divided,Standard,4,Surface mount,System 200,Audio,Keypad,,Info Module,Hearing Module,,"Keypad,Info Module,Hearing Module,",2,D,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL2P,MTMNA,MTMFNA,MTMMI,MTMFMI,MTMBFVS,MTMFBF,10,MTM System 200 Audio Surface mount with 2 divided button; inc: Keypad /  / Info Module / Hearing Module / 
MTM4S/S2APIMHM/2D,System 200 Audio - 2 button divided,Standard,4,Surface mount,System 200,Audio,,Proximity,Info Module,Hearing Module,,"Proximity,Info Module,Hearing Module,",2,D,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL2P,MTMRFID,MTMFRFID,MTMMI,MTMFMI,MTMBFVS,MTMFBF,10,MTM System 200 Audio Surface mount with 2 divided button; inc:  / Proximity / Info Module / Hearing Module / 
MTM4S/S2AKP/2,System 200 Audio - 2 button ,Standard,4,Surface mount,System 200,Audio,Keypad,Proximity,,,,"Keypad,Proximity,",2,,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL0P,MTM8C/200,MTMF2P,MTMNA,MTMFNA,MTMRFID,MTMFRFID,10,MTM System 200 Audio Surface mount with 2 button; inc: Keypad / Proximity /  /  / 
MTM4S/S2AKIM/2,System 200 Audio - 2 button ,Standard,4,Surface mount,System 200,Audio,Keypad,,Info Module,,,"Keypad,Info Module,",2,,MTMSP4M,,MTMTP4M,MTMA/200,MTMFAL0P,MTM8C/200,MTMF2P,MTMNA,MTMFNA,MTMMI,MTMFMI,10,MTM System 200 Audio Surface mount with 2 button; inc: Keypad /  / Info Module /  / 
